Station|Fontaine les Balmes|Fontaine les Balmes|Fontaine les Balmes|Fontaine les Balmes|Saint-Martin d'Heres|Saint-Martin d'Heres|Saint-Martin d'Heres|Saint-Martin d'Heres|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble Rocade Sud|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble les Frenes|Grenoble Grands Boulevards|Grenoble Grands Boulevards|Grenoble Grands Boulevards
avr-06|21|4|61|-|27|6|52|-|1,5|-|-|-|-|-|-|54|-|49|-|-|13,3|-|-|-|-|-|-|-|-|-|-|-|-|-|-|22|3|-|-|-|-|-|4|-|-|58|-|-|-|-|-|-|-|-|-|-
mai-06|17|3|64|-|21|3|55|-|1,1|-|-|-|-|-|-|51|-|44|-|-|9,3|-|-|-|-|-|-|-|-|-|-|-|-|-|-|19|1|-|-|-|-|-|2|-|-|57|-|-|-|-|-|-|-|-|-|-
juin-06|16|2|91|-|19|1|83|-|-|-|-|-|-|-|-|56|-|39|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|18|2|-|-|-|-|-|1|-|-|80|-|-|-|-|-|-|-|-|-|-
juil-06|16|1|92|-|21|1|83|-|0,9|-|-|-|-|-|-|54|-|28|-|-|7,4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|20|2|-|-|-|-|-|1|-|-|82|-|-|-|-|-|-|-|-|-|-
août-06|11|2|59|-|13|2|53|-|0,9|-|-|-|-|-|-|-|-|41|-|-|4,8|-|-|-|-|-|-|-|-|-|-|-|-|-|-|14|1|-|-|-|-|-|2|-|-|54|-|-|-|-|-|-|-|-|-|-
sept-06|20|3|51|-|26|5|39|-|1,3|-|-|-|-|-|-|59|-|57|-|-|9|-|-|-|-|-|-|-|-|-|-|-|-|-|-|24|1|-|-|-|-|-|4|-|-|44|-|-|-|-|-|-|-|-|-|-
oct-06|26|10|29|-|30|18|21|-|-|-|-|-|-|-|-|51|-|63|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|28|2|-|-|-|-|-|13|-|-|23|-|-|-|-|-|-|-|-|-|-
nov-06|32|23|26|-|36|49|22|-|-|-|-|-|-|-|-|56|-|80|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|37|5|-|-|-|-|-|30|-|-|22|-|-|-|-|-|-|-|-|-|-
déc-06|40|34|12|-|40|53|11|-|2,9|-|-|-|-|-|-|62|-|100|-|-|22,2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|41|7|-|-|-|-|-|40|-|-|12|-|-|-|-|-|-|-|-|-|-
janv-07|39|31|14|33|44|53|11|39|2,6|-|-|-|-|-|-|63|-|103|48|36|28,6|-|0,8|-|2,4|0,76|0,97|1,49|0,71|0,59|0,5|5,7|-|-|0,09|39|8|1,4|1,07|3,4|-|-|39|4,8|1,4|12|37|29|27,3|-|6,3|-|134,2|62|84|-
